"uri","date","title","uin"
"http://data.parliament.uk/resources/102742","2003-07-16","Vulnerable Children","CD:2003-07-16:295"
"http://data.parliament.uk/resources/102743","2003-07-16","Vulnerable Children","CD:2003-07-16:296"
"http://data.parliament.uk/resources/102738","2003-07-15","Sexual Offences Bill [Lords]","CD:2003-07-15:291"
"http://data.parliament.uk/resources/102736","2003-07-14","Communications Bill (Programme) (No. 3)","CD:2003-07-14:289"
"http://data.parliament.uk/resources/102737","2003-07-14","Communications Bill","CD:2003-07-14:290"
"http://data.parliament.uk/resources/102732","2003-07-09","Convention on the Future of Europe","CD:2003-07-09:285"
"http://data.parliament.uk/resources/102733","2003-07-09","Convention on the Future of Europe","CD:2003-07-09:286"
"http://data.parliament.uk/resources/102734","2003-07-09","Hunting Bill","CD:2003-07-09:287"
"http://data.parliament.uk/resources/102735","2003-07-09","Hunting Bill","CD:2003-07-09:288"
"http://data.parliament.uk/resources/102725","2003-07-08","House of Lords (Exclusion of Hereditary Peers)","CD:2003-07-08:278"
"http://data.parliament.uk/resources/102726","2003-07-08","Health and Social Care (Community Health and Standards) Bill (Programme) (No. 2)","CD:2003-07-08:279"
"http://data.parliament.uk/resources/102727","2003-07-08","Health and Social Care (Community Health and Standards) Bill","CD:2003-07-08:280"
"http://data.parliament.uk/resources/102728","2003-07-08","Health and Social Care (Community Health and Standards) Bill","CD:2003-07-08:281"
"http://data.parliament.uk/resources/102729","2003-07-08","Health and Social Care (Community Health and Standards) Bill","CD:2003-07-08:282"
"http://data.parliament.uk/resources/102730","2003-07-08","Health and Social Care (Community Health and Standards) Bill","CD:2003-07-08:283"
"http://data.parliament.uk/resources/102731","2003-07-08","Health and Social Care (Community Health and Standards) Bill","CD:2003-07-08:284"
"http://data.parliament.uk/resources/102722","2003-07-07","Government Targets","CD:2003-07-07:275"
"http://data.parliament.uk/resources/102723","2003-07-07","Tax Credits","CD:2003-07-07:276"
"http://data.parliament.uk/resources/102724","2003-07-07","Tax Credits","CD:2003-07-07:277"
"http://data.parliament.uk/resources/102717","2003-07-02","Deferred Divisions","CD:2003-07-02:270"
"http://data.parliament.uk/resources/102718","2003-07-02","Deferred Divisions","CD:2003-07-02:271"
"http://data.parliament.uk/resources/102719","2003-07-02","Road and Rail Transport","CD:2003-07-02:272"
"http://data.parliament.uk/resources/102720","2003-07-02","Small Businesses","CD:2003-07-02:273"
"http://data.parliament.uk/resources/102721","2003-07-02","Small Businesses","CD:2003-07-02:274"
"http://data.parliament.uk/resources/102709","2003-07-01","Finance Bill (Programme) (No. 5)","CD:2003-07-01:262"
"http://data.parliament.uk/resources/102710","2003-07-01","Finance Bill","CD:2003-07-01:263"
"http://data.parliament.uk/resources/102711","2003-07-01","Finance Bill","CD:2003-07-01:264"
"http://data.parliament.uk/resources/102712","2003-07-01","Finance Bill","CD:2003-07-01:265"
"http://data.parliament.uk/resources/102713","2003-07-01","Finance Bill","CD:2003-07-01:266"
"http://data.parliament.uk/resources/102714","2003-07-01","Finance Bill","CD:2003-07-01:267"
"http://data.parliament.uk/resources/102715","2003-07-01","Finance Bill","CD:2003-07-01:268"
"http://data.parliament.uk/resources/102716","2003-07-01","Hunting Bill (Programme) (No. 4)","CD:2003-07-01:269"
