"uri","date","title","uin"
"http://data.parliament.uk/resources/104242","2008-12-08","Speaker’s Committee on the Search of Offices on the Parliamentary Estate, Motion in the name of Ms Harriet Harman, Question put, That the amendment be made","CD:2008-12-08:1"
"http://data.parliament.uk/resources/104243","2008-12-08","Speaker’s Committee on the Search of Offices on the Parliamentary Estate, 3 hrs having elapsed since commencement of proceedings, Spk put Qs necessary to dispose of business to be concluded at that time (Order this day) Amd e","CD:2008-12-08:2"
"http://data.parliament.uk/resources/104244","2008-12-08","Speaker’s Committee on the Search of Offices on the Parliamentary Estate, Main Question put","CD:2008-12-08:3"
"http://data.parliament.uk/resources/104239","2008-11-26","Pre-Budget Report, Question put, That the Question be now put That this House has considered the matter of the Pre-Budget Report","CD:2008-11-26:339"
"http://data.parliament.uk/resources/104240","2008-11-26","Banking Bill, Question put, That the clause be read a Second time (New Clause 11)","CD:2008-11-26:340"
"http://data.parliament.uk/resources/104241","2008-11-26","Banking Bill, Question put, That the amendment be made (Clauses 1, 60, 62-65, 67, 72, 119 and 154)","CD:2008-11-26:341"
"http://data.parliament.uk/resources/104236","2008-11-25","European Documents, Motion made, and Question put forthwith, pursuant to Standing Order No. 119(11) (European Committees), Defence and Security Procurement That this House takes note of European Union Document No 16488/07","CD:2008-11-25:336"
"http://data.parliament.uk/resources/104237","2008-11-25","PENSIONS BILL (PROGRAMME) (NO. 2) Motion made, and Question put forthwith, pursuant to Standing Order No. 83A (Programme motions)","CD:2008-11-25:337"
"http://data.parliament.uk/resources/104238","2008-11-25","Pensions Bill, Question put, That the amendment to the Lords amendment 52 be made","CD:2008-11-25:338"
"http://data.parliament.uk/resources/104233","2008-11-24","PLANNING BILL (PROGRAMME) (No. 4) Motion made, and Question put forthwith, pursuant to Standing Order No. 83A(7) (Programme motions)","CD:2008-11-24:333"
"http://data.parliament.uk/resources/104234","2008-11-24","Planning Bill, Question put, That this House disagrees with the Lords in the said amendment (No115)","CD:2008-11-24:334"
"http://data.parliament.uk/resources/104235","2008-11-24","Planning Bill, Question put, That this House disagrees with the Lords in the said amendment (No160)","CD:2008-11-24:335"
"http://data.parliament.uk/resources/104229","2008-11-19","Counter-Terrorism Bill, Question put, That the Lords amendment No 2 be made","CD:2008-11-19:329"
"http://data.parliament.uk/resources/104230","2008-11-19","Counter-Terrorism Bill, Question put, That this House disagrees with the Lords in the said amendment (No2)","CD:2008-11-19:330"
"http://data.parliament.uk/resources/104231","2008-11-19","Counter-Terrorism Bill, Question put, That this House disagrees with the Lords in the said amendment (No106)","CD:2008-11-19:331"
"http://data.parliament.uk/resources/104232","2008-11-19","Counter-Terrorism Bill, Question put, That the amendment be made","CD:2008-11-19:332"
"http://data.parliament.uk/resources/104226","2008-11-18","Energy Bill, Amendment proposed to the Lords amendment: (b), Question put, That the amendment to the Lords amendment be made","CD:2008-11-18:326"
"http://data.parliament.uk/resources/104227","2008-11-18","Energy Bill, Government amendment to Lords amendment: (g), Question put, That the amendment to the Lords amendment be made","CD:2008-11-18:327"
"http://data.parliament.uk/resources/104228","2008-11-18","European Community Documents, Motion made, and Question put forthwith, pursuant to Standing Order No. 119(9) ( European Committees )","CD:2008-11-18:328"
"http://data.parliament.uk/resources/104225","2008-11-17","Education and Skills Bill, Question put, That this House agrees with the Lords in the said amendment","CD:2008-11-17:325"
