"uri","date","title","uin"
"http://data.parliament.uk/resources/103750","2007-03-07","House of Lords Reform Bill (Hereditary places main amendment)","CD:2007-03-07:72"
"http://data.parliament.uk/resources/103741","2007-03-02","Standing Order No. 163 (Motions to sit in private)","CD:2007-03-02:63"
"http://data.parliament.uk/resources/103742","2007-03-02","Off-Road Vehicles (Registration) Bill","CD:2007-03-02:64"
"http://data.parliament.uk/resources/103739","2007-02-28","Offender Management Bill","CD:2007-02-28:61"
"http://data.parliament.uk/resources/103740","2007-02-28","Offender Management Bill","CD:2007-02-28:62"
"http://data.parliament.uk/resources/103736","2007-02-27","Greater London Authority Bill","CD:2007-02-27:58"
"http://data.parliament.uk/resources/103737","2007-02-27","Greater London Authority Bill","CD:2007-02-27:59"
"http://data.parliament.uk/resources/103738","2007-02-27","Greater London Authority Bill","CD:2007-02-27:60"
"http://data.parliament.uk/resources/103733","2007-02-26","Royal Navy","CD:2007-02-26:55"
"http://data.parliament.uk/resources/103734","2007-02-26","Electoral System","CD:2007-02-26:56"
"http://data.parliament.uk/resources/103735","2007-02-26","Electoral System","CD:2007-02-26:57"
"http://data.parliament.uk/resources/103732","2007-02-23","Standing Order No. 163 (Motions to sit in private)","CD:2007-02-23:54"
"http://data.parliament.uk/resources/103731","2007-02-22","Prevention of Terrorism Act 2005 (Continuance in force of sections 1 to 9 Order 2007 (Points of Order)","CD:2007-02-22:53"
"http://data.parliament.uk/resources/103730","2007-02-21","Acute Hospital Services","CD:2007-02-21:52"
"http://data.parliament.uk/resources/103728","2007-02-20","Planning-gain Supplement (Preparations) Bill","CD:2007-02-20:50"
"http://data.parliament.uk/resources/103729","2007-02-20","Planning-gain Supplement (Preparations) Bill","CD:2007-02-20:51"
"http://data.parliament.uk/resources/103724","2007-02-07","Al-Yamamah Arms Agreement","CD:2007-02-07:46"
"http://data.parliament.uk/resources/103725","2007-02-07","Al-Yamamah Arms Agreement","CD:2007-02-07:47"
"http://data.parliament.uk/resources/103726","2007-02-07","Government’s Crime Record","CD:2007-02-07:48"
"http://data.parliament.uk/resources/103727","2007-02-07","Government’s Crime Record","CD:2007-02-07:49"
"http://data.parliament.uk/resources/103721","2007-02-06","Justice and Security (Northern Ireland) Bill","CD:2007-02-06:43"
"http://data.parliament.uk/resources/103722","2007-02-06","Justice and Security (Northern Ireland) Bill","CD:2007-02-06:44"
"http://data.parliament.uk/resources/103723","2007-02-06","Justice and Security (Northern Ireland) Bill","CD:2007-02-06:45"
"http://data.parliament.uk/resources/103720","2007-02-05","UK Borders Bill","CD:2007-02-05:42"
"http://data.parliament.uk/resources/103719","2007-02-02","Standing Order No. 163 (Motions to sit in private)","CD:2007-02-02:41"
"http://data.parliament.uk/resources/103717","2007-01-30","Special Educational Needs","CD:2007-01-30:39"
"http://data.parliament.uk/resources/103718","2007-01-30","Special Educational Needs","CD:2007-01-30:40"
"http://data.parliament.uk/resources/103715","2007-01-26","Standing Order No. 163 (Motions to sit in private)","CD:2007-01-26:37"
"http://data.parliament.uk/resources/103716","2007-01-26","Energy Saving (Daylight) Bill","CD:2007-01-26:38"
"http://data.parliament.uk/resources/103708","2007-01-25","Fraud (Trials without a Jury) Bill","CD:2007-01-25:31"
"http://data.parliament.uk/resources/103710","2007-01-25","Fraud (Trials without a Jury) Bill","CD:2007-01-25:32"
"http://data.parliament.uk/resources/103711","2007-01-25","Fraud (Trials without a Jury) Bill","CD:2007-01-25:33"
"http://data.parliament.uk/resources/103712","2007-01-25","Fraud (Trials without a Jury) Bill","CD:2007-01-25:34"
"http://data.parliament.uk/resources/103713","2007-01-25","Fraud (Trials without a Jury) Bill","CD:2007-01-25:35"
"http://data.parliament.uk/resources/103714","2007-01-25","Fraud (Trials without a Jury) Bill","CD:2007-01-25:36"
"http://data.parliament.uk/resources/103706","2007-01-23","Health Care-acquired Infections","CD:2007-01-23:29"
"http://data.parliament.uk/resources/103707","2007-01-23","Disabled Children","CD:2007-01-23:30"
"http://data.parliament.uk/resources/103703","2007-01-22","Local Government and Public Involvement in Health Bill","CD:2007-01-22:26"
"http://data.parliament.uk/resources/103704","2007-01-22","Local Government and Public Involvement in Health Bill","CD:2007-01-22:27"
"http://data.parliament.uk/resources/103705","2007-01-22","Local Government and Public Involvement in Health Bill","CD:2007-01-22:28"
"http://data.parliament.uk/resources/103702","2007-01-19","Sustainable Communities Bill","CD:2007-01-19:25"
"http://data.parliament.uk/resources/103701","2007-01-15","Planning-gain Supplement (Preparations) Bill","CD:2007-01-15:24"
"http://data.parliament.uk/resources/103698","2007-01-10","Community Maternity Services","CD:2007-01-10:21"
"http://data.parliament.uk/resources/103699","2007-01-10","Sub Post-Offices","CD:2007-01-10:22"
"http://data.parliament.uk/resources/103700","2007-01-10","Sub Post-Offices","CD:2007-01-10:23"
"http://data.parliament.uk/resources/103695","2007-01-09","Welfare Reform Bill","CD:2007-01-09:18"
"http://data.parliament.uk/resources/103696","2007-01-09","Welfare Reform Bill","CD:2007-01-09:19"
"http://data.parliament.uk/resources/103697","2007-01-09","Welfare Reform Bill","CD:2007-01-09:20"
"http://data.parliament.uk/resources/103694","2006-12-13","Justice and Security (Northern Ireland) Bill","CD:2006-12-13:17"
"http://data.parliament.uk/resources/103692","2006-12-12","Greater London Authority Bill","CD:2006-12-12:15"
"http://data.parliament.uk/resources/103693","2006-12-12","Greater London Authority Bill","CD:2006-12-12:16"
"http://data.parliament.uk/resources/103690","2006-12-11","Offender Management Bill","CD:2006-12-11:13"
"http://data.parliament.uk/resources/103691","2006-12-11","Offender Management Bill","CD:2006-12-11:14"
"http://data.parliament.uk/resources/103688","2006-12-05","Public Health","CD:2006-12-05:11"
"http://data.parliament.uk/resources/103689","2006-12-05","Transport Strategy","CD:2006-12-05:12"
"http://data.parliament.uk/resources/103686","2006-12-04","Corporate Manslaughter and Corporate Homicide Bill","CD:2006-12-04:9"
"http://data.parliament.uk/resources/103687","2006-12-04","Corporate Manslaughter and Corporate Homicide Bill","CD:2006-12-04:10"
"http://data.parliament.uk/resources/103685","2006-11-30","Business of the House","CD:2006-11-30:8"
"http://data.parliament.uk/resources/103683","2006-11-29","Fraud (Trials without a Jury) Bill","CD:2006-11-29:6"
"http://data.parliament.uk/resources/103684","2006-11-29","European Community Documents","CD:2006-11-29:7"
"http://data.parliament.uk/resources/103680","2006-11-27","Treasury and Work and Pensions","CD:2006-11-27:3"
"http://data.parliament.uk/resources/103681","2006-11-27","Treasury and Work and Pensions","CD:2006-11-27:4"
"http://data.parliament.uk/resources/103682","2006-11-27","Treasury and Work and Pensions","CD:2006-11-27:5"
"http://data.parliament.uk/resources/103679","2006-11-23","Debate on the Address","CD:2006-11-23:2"
"http://data.parliament.uk/resources/103678","2006-11-21","Northern Ireland (St Andrews Agreement) Bill","CD:2006-11-21:1"
