"uri","date","title","uin"
"http://data.parliament.uk/resources/103238","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:59"
"http://data.parliament.uk/resources/103239","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:60"
"http://data.parliament.uk/resources/103240","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:61"
"http://data.parliament.uk/resources/103241","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:62"
"http://data.parliament.uk/resources/103242","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:63"
"http://data.parliament.uk/resources/103235","2005-01-31","Constitutional Reform Bill [Lords]","CD:2005-01-31:56"
"http://data.parliament.uk/resources/103236","2005-01-31","Constitutional Reform Bill [Lords]","CD:2005-01-31:57"
"http://data.parliament.uk/resources/103237","2005-01-31","Constitutional Reform Bill [Lords]","CD:2005-01-31:58"
"http://data.parliament.uk/resources/103231","2005-01-27","Railways Bill","CD:2005-01-27:52"
"http://data.parliament.uk/resources/103232","2005-01-27","Railways Bill","CD:2005-01-27:53"
"http://data.parliament.uk/resources/103233","2005-01-27","Railways Bill","CD:2005-01-27:54"
"http://data.parliament.uk/resources/103234","2005-01-27","Railways Bill","CD:2005-01-27:55"
"http://data.parliament.uk/resources/103225","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:47"
"http://data.parliament.uk/resources/103226","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:48"
"http://data.parliament.uk/resources/103227","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:49"
"http://data.parliament.uk/resources/103228","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:50"
"http://data.parliament.uk/resources/103230","2005-01-26","Commissioners for Revenue and Customs Bill","CD:2005-01-26:51"
"http://data.parliament.uk/resources/103222","2005-01-25","Licensing Act 2003","CD:2005-01-25:44"
"http://data.parliament.uk/resources/103223","2005-01-25","Food Supplements Directive","CD:2005-01-25:45"
"http://data.parliament.uk/resources/103224","2005-01-25","Food Supplements Directive","CD:2005-01-25:46"
"http://data.parliament.uk/resources/103216","2005-01-24","Gambling Bill","CD:2005-01-24:38"
"http://data.parliament.uk/resources/103217","2005-01-24","Gambling Bill","CD:2005-01-24:39"
"http://data.parliament.uk/resources/103218","2005-01-24","Gambling Bill","CD:2005-01-24:40"
"http://data.parliament.uk/resources/103219","2005-01-24","Gambling Bill","CD:2005-01-24:41"
"http://data.parliament.uk/resources/103220","2005-01-24","Gambling Bill","CD:2005-01-24:42"
"http://data.parliament.uk/resources/103221","2005-01-24","Gambling Bill","CD:2005-01-24:43"
"http://data.parliament.uk/resources/103213","2005-01-19","Value for TaxpayersŸ Money","CD:2005-01-19:35"
"http://data.parliament.uk/resources/103214","2005-01-19","Farming and Rural Communities","CD:2005-01-19:36"
"http://data.parliament.uk/resources/103215","2005-01-19","Farming and Rural Communities","CD:2005-01-19:37"
"http://data.parliament.uk/resources/103211","2005-01-17","Constitutional Reform Bill [Lords]","CD:2005-01-17:33"
"http://data.parliament.uk/resources/103212","2005-01-17","Constitutional Reform Bill [Lords]","CD:2005-01-17:34"
"http://data.parliament.uk/resources/103210","2005-01-13","Consumer Credit Bill","CD:2005-01-13:32"
"http://data.parliament.uk/resources/103209","2005-01-12","Child Benefit Bill","CD:2005-01-12:31"
"http://data.parliament.uk/resources/103208","2005-01-11","Road Safety Bill","CD:2005-01-11:30"
"http://data.parliament.uk/resources/103205","2005-01-10","Clean Neighbourhoods and Environment Bill","CD:2005-01-10:27"
"http://data.parliament.uk/resources/103206","2005-01-10","Clean Neighbourhoods and Environment Bill","CD:2005-01-10:28"
"http://data.parliament.uk/resources/103207","2005-01-10","Clean Neighbourhoods and Environment Bill","CD:2005-01-10:29"
"http://data.parliament.uk/resources/103201","2004-12-20","Identity Cards Bill","CD:2004-12-20:23"
"http://data.parliament.uk/resources/103202","2004-12-20","Identity Cards Bill","CD:2004-12-20:24"
"http://data.parliament.uk/resources/103203","2004-12-20","Identity Cards Bill","CD:2004-12-20:25"
"http://data.parliament.uk/resources/103204","2004-12-20","Identity Cards Bill","CD:2004-12-20:26"
"http://data.parliament.uk/resources/103196","2004-12-16","Points of Order","CD:2004-12-16:18"
"http://data.parliament.uk/resources/103197","2004-12-16","School Transport Bill","CD:2004-12-16:19"
"http://data.parliament.uk/resources/103198","2004-12-16","School Transport Bill","CD:2004-12-16:20"
"http://data.parliament.uk/resources/103199","2004-12-16","School Transport Bill","CD:2004-12-16:21"
"http://data.parliament.uk/resources/103200","2004-12-16","School Transport Bill","CD:2004-12-16:22"
"http://data.parliament.uk/resources/103189","2004-12-14","Mental Capacity Bill","CD:2004-12-14:11"
"http://data.parliament.uk/resources/103190","2004-12-14","Mental Capacity Bill","CD:2004-12-14:12"
"http://data.parliament.uk/resources/103191","2004-12-14","Mental Capacity Bill","CD:2004-12-14:13"
"http://data.parliament.uk/resources/103192","2004-12-14","Mental Capacity Bill","CD:2004-12-14:14"
"http://data.parliament.uk/resources/103193","2004-12-14","Mental Capacity Bill","CD:2004-12-14:15"
"http://data.parliament.uk/resources/103194","2004-12-14","Mental Capacity Bill","CD:2004-12-14:16"
"http://data.parliament.uk/resources/103195","2004-12-14","Mental Capacity Bill","CD:2004-12-14:17"
"http://data.parliament.uk/resources/103187","2004-12-13","School Discipline","CD:2004-12-13:9"
"http://data.parliament.uk/resources/103188","2004-12-13","Family Justice","CD:2004-12-13:10"
"http://data.parliament.uk/resources/103186","2004-12-08","Commissioners for Revenue and Customs Bill","CD:2004-12-08:8"
"http://data.parliament.uk/resources/103185","2004-12-07","Serious Organised Crime and Police Bill","CD:2004-12-07:7"
"http://data.parliament.uk/resources/103183","2004-12-06","Railways Bill","CD:2004-12-06:5"
"http://data.parliament.uk/resources/103184","2004-12-06","Railways Bill","CD:2004-12-06:6"
"http://data.parliament.uk/resources/103180","2004-12-01","Economic Affairs","CD:2004-12-01:2"
"http://data.parliament.uk/resources/103181","2004-12-01","Economic Affairs","CD:2004-12-01:3"
"http://data.parliament.uk/resources/103182","2004-12-01","Economic Affairs","CD:2004-12-01:4"
"http://data.parliament.uk/resources/103179","2004-11-30","Health and Education","CD:2004-11-30:1"
