"uri","date","title","uin"
"http://data.parliament.uk/resources/104748","2010-11-17","Opposition Day Debate (6th allot. day). 2. Funding and schools reform. Mr Alan Campbell claimed to move the closure (Standing Order No. 36). Question put, That the Question be now put. Question agreed to. Question put.","CD:2010-11-17:121"
"http://data.parliament.uk/resources/104745","2010-11-16","Fixed-Term Parliaments Bill. Clause 1 (Polling days for parliamentary general elections). Amendment 11 proposed. Question put, That the Amendment be made.","CD:2010-11-16:118"
"http://data.parliament.uk/resources/104746","2010-11-16","Fixed-Term Parliaments Bill. Amendment 12 proposed. Question put, That the Amendment be made.","CD:2010-11-16:119"
"http://data.parliament.uk/resources/104743","2010-11-12","Motion made that the House sit in private. Question put forthwith (Standing Order No. 163).","CD:2010-11-12:116"
"http://data.parliament.uk/resources/104744","2010-11-12","Sustainable Livestock Bill 2R. Motion made and Question proposed, That the Sustainable Livestock Bill be now read a second time.  Dep. Spkr declared Q. not decided in the Affirmative as fewer than one hundred Members in support of the motion (SO No. ","CD:2010-11-12:117"
"http://data.parliament.uk/resources/104741","2010-11-10","Equitable Life (Payments) Bill Committee of the whole House Amendment 1 proposed Question put, That the Amendment be made","CD:2010-11-10:114"
"http://data.parliament.uk/resources/104742","2010-11-10","European Union Economic Governance Motion made and Question put The House divided","CD:2010-11-10:115"
"http://data.parliament.uk/resources/104740","2010-11-09","Opposition Day Impact of Proposed Changes to Housing Benefit Ms Rosie Winterton claimed to move the closure (Standing Order No. 36) Question put, That the Question be now put.","CD:2010-11-09:113"
"http://data.parliament.uk/resources/104738","2010-11-08","Finance (No. 2) Bill New Clause NC1 Question proposed, That the Clause be read a second time","CD:2010-11-08:111"
"http://data.parliament.uk/resources/104739","2010-11-08","Finance (No. 2) Bill New Clause NC3 Question put, That the Clause be read a second time","CD:2010-11-08:112"
"http://data.parliament.uk/resources/104735","2010-11-02","Parliamentary Voting System and Constituencies Bill, Amendment 177 proposed Question put, That the Amendment be made","CD:2010-11-02:108"
"http://data.parliament.uk/resources/104736","2010-11-02","Parliamentary Voting System and Constituencies Bill,  Amendment 7 proposed Question put, That the Amendment be made.","CD:2010-11-02:109"
"http://data.parliament.uk/resources/104737","2010-11-02","Parliamentary Voting System and Constituencies Bill Third Reading Motion made and Question put, That the Bill be now read the third time","CD:2010-11-02:110"
"http://data.parliament.uk/resources/104730","2010-11-01","Parliamentary Voting System and Constituencies Bill (Programme) (No. 4) Motion made and Question put, provisions shall apply","CD:2010-11-01:103"
"http://data.parliament.uk/resources/104731","2010-11-01","Parliamentary Voting System and Constituencies Bill, Amendment 9 proposed Question put, That the Amendment be made","CD:2010-11-01:104"
"http://data.parliament.uk/resources/104732","2010-11-01","Parliamentary Voting System and Constituencies Bill, That Amendment 11 be made (Amendment selected by the Speaker for separate decision)","CD:2010-11-01:105"
"http://data.parliament.uk/resources/104733","2010-11-01","Parliamentary Voting System and Constituencies Bill, That Amendment 183 be made (Amendment selected by the Speaker for separate decision)","CD:2010-11-01:106"
"http://data.parliament.uk/resources/104734","2010-11-01","Parliamentary Voting System and Constituencies Bill, Amendment 15 proposed Question put, That the Amendment be made","CD:2010-11-01:107"
"http://data.parliament.uk/resources/104729","2010-10-27","Postal Services Bill: Second Reading Motion made and Question put, That the Postal Services Bill be now read a second time","CD:2010-10-27:102"
"http://data.parliament.uk/resources/104728","2010-10-26","Savings Accounts and Health in Pregnancy Grant Bill: Second Reading Motion made and Question put, That the Savings Accounts and Health in Pregnancy Grant Bill be now read a second time","CD:2010-10-26:101"
