"uri","date","title","uin"
"http://data.parliament.uk/resources/102242","2002-02-05","Education Bill","CD:2002-02-05:156"
"http://data.parliament.uk/resources/102237","2002-02-04","Asylum Seekers","CD:2002-02-04:151"
"http://data.parliament.uk/resources/102238","2002-02-04","Pensions and Benefits","CD:2002-02-04:152"
"http://data.parliament.uk/resources/102239","2002-02-04","Pensions and Benefits","CD:2002-02-04:153"
"http://data.parliament.uk/resources/102236","2002-01-31","Travel Concessions (Eligibility) Bill [Lords]","CD:2002-01-31:150"
"http://data.parliament.uk/resources/102235","2002-01-30","Local Government Finance","CD:2002-01-30:149"
"http://data.parliament.uk/resources/102232","2002-01-29","Post Office","CD:2002-01-29:147"
"http://data.parliament.uk/resources/102234","2002-01-29","Post Office","CD:2002-01-29:148"
"http://data.parliament.uk/resources/102223","2002-01-28","Civil Defence (Grant) Bill","CD:2002-01-28:142"
"http://data.parliament.uk/resources/102225","2002-01-28","Civil Defence (Grant) Bill","CD:2002-01-28:143"
"http://data.parliament.uk/resources/102226","2002-01-28","Civil Defence (Grant) Bill","CD:2002-01-28:144"
"http://data.parliament.uk/resources/102228","2002-01-28","City of London (Ward Elections) Bill","CD:2002-01-28:145"
"http://data.parliament.uk/resources/102229","2002-01-28","City of London (Ward Elections) Bill","CD:2002-01-28:146"
"http://data.parliament.uk/resources/102222","2002-01-23","Identity Card","CD:2002-01-23:141"
"http://data.parliament.uk/resources/102220","2002-01-22","Public Services","CD:2002-01-22:139"
"http://data.parliament.uk/resources/102221","2002-01-22","Public Services","CD:2002-01-22:140"
"http://data.parliament.uk/resources/102218","2002-01-21","Justice (Northern Ireland) Bill","CD:2002-01-21:137"
"http://data.parliament.uk/resources/102219","2002-01-21","Justice (Northern Ireland) Bill","CD:2002-01-21:138"
"http://data.parliament.uk/resources/102215","2002-01-16","Railways","CD:2002-01-16:134"
"http://data.parliament.uk/resources/102216","2002-01-16","Care System","CD:2002-01-16:135"
"http://data.parliament.uk/resources/102217","2002-01-16","Care System","CD:2002-01-16:136"
"http://data.parliament.uk/resources/102211","2002-01-15","National Health Service Reform and Health Care Professions Bill","CD:2002-01-15:130"
"http://data.parliament.uk/resources/102212","2002-01-15","National Health Service Reform and Health Care Professions Bill","CD:2002-01-15:131"
"http://data.parliament.uk/resources/102213","2002-01-15","National Health Service Reform and Health Care Professions Bill","CD:2002-01-15:132"
"http://data.parliament.uk/resources/102214","2002-01-15","National Health Service Reform and Health Care Professions Bill","CD:2002-01-15:133"
"http://data.parliament.uk/resources/102210","2002-01-14","Office of Communications Bill [Lords] (Programme)","CD:2002-01-14:129"
"http://data.parliament.uk/resources/102208","2002-01-11","Pension Annuities (Amendment) Bill","CD:2002-01-11:127"
"http://data.parliament.uk/resources/102209","2002-01-11","Pension Annuities (Amendment) Bill","CD:2002-01-11:128"
"http://data.parliament.uk/resources/102205","2002-01-09","Northern Ireland Arms Decommissioning (Amendment) Bill","CD:2002-01-09:124"
"http://data.parliament.uk/resources/102206","2002-01-09","Northern Ireland Arms Decommissioning (Amendment) Bill","CD:2002-01-09:125"
"http://data.parliament.uk/resources/102207","2002-01-09","Northern Ireland Arms Decommissioning (Amendment) Bill","CD:2002-01-09:126"
"http://data.parliament.uk/resources/102204","2002-01-08","Commonhold and Leasehold Reform Bill [Lords]Order for Second Reading read.","CD:2002-01-08:123"
"http://data.parliament.uk/resources/102203","2001-12-19","Treason Felony, Act of Settlement and Parliamentary Oath","CD:2001-12-19:122"
"http://data.parliament.uk/resources/102198","2001-12-18","Facilities of the House","CD:2001-12-18:117"
"http://data.parliament.uk/resources/102199","2001-12-18","Facilities of the House","CD:2001-12-18:118"
"http://data.parliament.uk/resources/102200","2001-12-18","Facilities of the House","CD:2001-12-18:119"
"http://data.parliament.uk/resources/102201","2001-12-18","Facilities of the House","CD:2001-12-18:120"
"http://data.parliament.uk/resources/102202","2001-12-18","Facilities of the House","CD:2001-12-18:121"
"http://data.parliament.uk/resources/102196","2001-12-17","Northern Ireland Arms Decommissioning (Amendment) Bill","CD:2001-12-17:115"
"http://data.parliament.uk/resources/102197","2001-12-17","Northern Ireland Arms Decommissioning (Amendment) Bill","CD:2001-12-17:116"
"http://data.parliament.uk/resources/102192","2001-12-13","Animal Health Bill","CD:2001-12-13:111"
