"uri","date","title","uin"
"http://data.parliament.uk/resources/1255268","2020-11-25","Draft European Union (Withdrawal) Act 2018 (Relevant Court) (Retained EU Case Law) Regulations 2020","CD:2020-11-25:915"
"http://data.parliament.uk/resources/1252605","2020-11-17","Draft Road Vehicle Carbon Dioxide Emission Performance Standards (Cars and Vans) (Amendment) (EU Exit) Regulations 2020","CD:2020-11-17:914"
"http://data.parliament.uk/resources/1251986","2020-11-16","Pension Schemes Bill [Lords]: Report Stage: New Clause 1","CD:2020-11-16:910"
"http://data.parliament.uk/resources/1252037","2020-11-16","Pension Schemes Bill [Lords]: Report Stage: New Clause 4","CD:2020-11-16:911"
"http://data.parliament.uk/resources/1252085","2020-11-16","Pension Schemes Bill [Lords]: Report Stage: Amendment 16","CD:2020-11-16:913"
"http://data.parliament.uk/resources/1252086","2020-11-16","Pension Schemes Bill [Lords]: Report Stage: Amendment 1","CD:2020-11-16:912"
"http://data.parliament.uk/resources/1250237","2020-11-10","Parliamentary Constituencies Bill Lords Amendments: motion to disagree with LA7","CD:2020-11-10:907"
"http://data.parliament.uk/resources/1250238","2020-11-10","Parliamentary Constituencies Bill Lords Amendments: motion to disagree with LA1","CD:2020-11-10:905"
"http://data.parliament.uk/resources/1250239","2020-11-10","Parliamentary Constituencies Bill: Consideration of Lords Amendments, Motion to disagree with LA 6","CD:2020-11-10:906"
"http://data.parliament.uk/resources/1250240","2020-11-10","Parliamentary Constituencies Bill: Consideration of Lords Amendments, motion to disagree with LA 8","CD:2020-11-10:908"
"http://data.parliament.uk/resources/1250267","2020-11-10","Appointment of a member to the Committee on Standards: Amendment (a)","CD:2020-11-10:909"
"http://data.parliament.uk/resources/1248697","2020-11-04","Health Protection (Coronavirus, Restrictions) (England) (No.4) Regulations 2020","CD:2020-11-04:902"
"http://data.parliament.uk/resources/1248706","2020-11-04","Agriculture Bill: Lords Amendment 16B Motion to disagree","CD:2020-11-04:903"
